timestamps,TP9,AF7,AF8,TP10,Right AUX
1718680471.942,165.039,295.410,42.480,449.219,0.000
1718680471.946,-343.262,-335.938,-446.777,0.000,0.000
1718680471.950,-530.273,-693.359,-510.742,0.000,0.000
1718680471.954,-143.555,-237.305,-280.273,0.000,0.000
1718680471.958,280.273,186.035,-87.402,0.000,0.000
1718680471.962,138.672,-74.219,-187.988,0.000,0.000
1718680471.966,-318.848,-729.492,-522.461,0.000,0.000
1718680471.969,-511.719,-916.504,-553.223,0.000,0.000
1718680471.973,-211.914,-279.785,-318.359,0.000,0.000
1718680471.977,275.879,-136.719,-262.695,0.000,0.000
1718680471.981,239.746,-608.398,-311.035,0.000,0.000
1718680471.985,-265.625,-507.812,-376.953,0.000,0.000
1718680471.989,-542.480,-474.121,-489.258,0.000,0.000
1718680471.993,-276.855,-601.074,0.000,-332.031,0.000
1718680471.997,213.867,-41.992,0.000,728.516,0.000
1718680472.001,289.551,230.957,0.000,736.816,0.000
1718680472.005,-155.273,-396.973,0.000,-272.461,0.000
1718680472.009,-517.090,-854.980,0.000,-965.820,0.000
1718680472.012,-326.172,-822.754,0.000,-449.219,0.000
1718680472.016,174.316,-330.078,0.000,644.043,0.000
1718680472.020,302.734,24.414,0.000,790.039,0.000
1718680472.024,-80.078,-670.410,0.000,-97.168,0.000
1718680472.028,-542.969,-787.109,0.000,-952.637,0.000
1718680472.032,-414.551,-241.211,0.000,-635.742,0.000
1718680472.036,123.535,8.789,0.000,535.156,0.000
1718680472.040,312.012,28.320,-462.402,866.211,0.000
1718680472.044,-28.320,-165.039,-72.754,38.574,0.000
1718680472.048,-509.277,-383.301,-45.410,-917.480,0.000
1718680472.051,-435.059,-465.332,-437.988,-709.961,0.000
1718680472.055,64.941,-221.680,-556.641,412.598,0.000
1718680472.059,312.012,-14.648,-494.141,878.906,0.000
1718680472.063,59.082,-126.465,-267.090,210.938,0.000
1718680472.067,-436.523,-646.484,-104.980,-837.402,0.000
1718680472.071,-460.449,-869.141,-513.184,-812.500,0.000
1718680472.075,0.000,-61.035,-556.152,268.066,0.000
1718680472.079,329.102,431.641,-331.543,908.691,0.000
1718680472.083,140.137,84.473,-229.492,388.184,0.000
1718680472.087,-418.457,-294.922,-428.711,-764.648,0.000
1718680472.091,-540.527,-263.184,-400.879,-944.824,0.000
1718680472.094,-46.387,-61.035,-270.508,116.211,0.000
1718680472.098,354.980,-152.344,-309.082,937.012,0.000
1718680472.102,176.758,-170.410,-322.754,468.750,0.000
1718680472.106,-375.000,-511.719,-466.309,-698.242,0.000
1718680472.110,-536.621,-825.684,-532.227,-991.699,0.000
1718680472.114,-102.539,-903.320,-552.246,-25.391,0.000
1718680472.118,282.227,-319.336,-231.445,887.207,0.000
1718680472.122,198.242,359.863,62.012,626.953,0.000
1718680472.126,-276.855,-126.465,-359.863,-544.922,0.000
1718680472.130,-543.457,-653.320,-526.367,-1000.000,0.000
1718680472.134,-214.844,-229.980,-271.973,-224.121,0.000
1718680472.137,255.859,276.367,-12.207,821.289,0.000
1718680472.141,241.699,172.363,-93.262,718.262,0.000
1718680472.145,-250.000,-232.910,-358.887,-437.012,0.000
1718680472.149,-554.688,-450.195,-451.660,-1000.000,0.000
1718680472.153,-234.375,-460.449,-408.691,-285.645,0.000
1718680472.157,247.070,-399.902,-325.195,800.293,0.000
1718680472.161,284.180,-577.148,-323.242,782.715,0.000
