timestamps,TP9,AF7,AF8,TP10,Right AUX
1718676266.439,-12.207,25.879,245.117,11.719,0.000
1718676266.444,-56.152,-40.527,-324.219,-85.938,0.000
1718676266.448,-56.152,-94.727,-793.457,-95.703,0.000
1718676266.451,-19.043,-43.945,-445.312,-27.832,0.000
1718676266.455,15.137,29.785,242.676,41.016,0.000
1718676266.459,-5.371,7.324,232.422,17.090,0.000
1718676266.463,-54.688,-76.660,-429.199,-62.012,0.000
1718676266.467,-69.824,-86.426,-731.445,-93.750,0.000
1718676266.471,-31.738,-27.344,-408.691,-34.180,0.000
1718676266.475,13.184,6.836,104.980,53.711,0.000
1718676266.479,3.906,-28.320,-72.266,41.992,0.000
1718676266.483,-38.086,-27.344,-283.691,-48.828,0.000
1718676266.487,-49.316,-46.387,-589.844,-103.516,0.000
1718676266.491,-16.602,-48.828,-622.070,-51.758,0.000
1718676266.495,7.812,10.254,24.414,35.156,0.000
1718676266.499,-8.789,22.461,280.273,47.852,0.000
1718676266.503,-52.246,-22.949,-87.402,-24.902,0.000
1718676266.507,-78.613,-79.590,-649.414,-82.520,0.000
1718676266.510,-49.805,-73.242,-696.289,-40.039,0.000
1718676266.514,-8.789,-1.953,-141.113,39.551,0.000
1718676266.518,-8.789,23.438,255.859,49.316,0.000
1718676266.522,-38.574,-54.199,-195.801,-11.719,0.000
1718676266.526,-52.734,-102.051,-773.926,-76.660,0.000
1718676266.530,-47.363,-45.898,-583.008,-64.453,0.000
1718676266.534,-41.016,-5.371,-105.469,6.348,0.000
1718676266.538,-30.762,0.000,141.113,40.039,0.000
1718676266.542,-59.570,-19.043,65.430,-17.090,0.000
1718676266.546,-88.379,-69.336,-499.512,-103.516,0.000
1718676266.550,-59.082,-79.102,-734.375,-88.867,0.000
1718676266.554,-22.949,-22.461,-190.918,1.465,0.000
1718676266.558,-9.277,8.789,225.586,51.270,0.000
1718676266.561,-40.039,-16.602,53.711,-3.418,0.000
1718676266.565,-72.754,-60.547,-499.512,-100.586,0.000
1718676266.569,-51.758,-66.406,-649.414,-97.168,0.000
1718676266.573,-9.277,0.000,-144.531,-11.719,0.000
1718676266.577,14.160,46.875,339.355,46.875,0.000
1718676266.581,-10.254,3.906,136.719,12.207,0.000
1718676266.585,-45.410,-61.523,-503.906,-61.035,0.000
1718676266.589,-44.434,-37.109,-605.469,-77.637,0.000
1718676266.593,-10.254,6.836,-221.191,-20.020,0.000
1718676266.597,27.344,31.250,197.754,49.316,0.000
1718676266.601,11.719,17.578,178.223,17.090,0.000
1718676266.605,-29.297,-39.551,-440.918,-79.590,0.000
1718676266.608,-46.387,-55.176,-735.352,-102.051,0.000
